BNP FP Equity,PX_LAST,6MO_PUT_IMP_VOL
2021337,32.08,44.295
2021338,31.65,44.295
2021339,31.21,44.295
2021340,31.19,44.295
2021341,30.62,44.295
2021342,30.93,44.295
2021343,31.57,44.295
2021344,32.11,44.295
2021345,31.95,44.295
2021346,32.23,44.295
2021347,31.99,44.295
2021348,32.61,44.295
2021349,32.79,44.295
2021350,33.67,44.295
2021351,34.38,44.295
2021352,34.07,44.295
2021353,33.59,44.295
2021354,33.78,44.295
2021355,34.39,44.295
2021356,34.46,44.295
2021357,33.7,44.295
2021358,33.09,44.295
2021359,33.04,44.295
2021360,32.85,44.295
2021361,32.1,44.295
2021362,32.31,44.295
2021363,32.32,44.295
2021364,33.25,44.295
2021365,34.01,44.295
2021366,33.76,44.295
2021367,32.66,44.295
2021368,32.49,44.295
2021369,32.8,44.295
2021370,32.65,44.295
2021371,32.91,44.295
2021372,32.8,44.295
2021373,33.1,44.295
2021374,34.23,44.295
2021375,34.91,44.295
2021376,35.46,44.295
2021377,35.3,44.295
2021378,34.91,44.295
2021379,34.75,44.295
2021380,33.75,44.295
2021381,34.65,44.295
2021382,34.87,44.295
2021383,35.46,44.295
2021384,35.95,44.295
2021385,36.71,44.295
2021386,37.13,44.295
2021387,37.89,44.295
2021388,37.98,44.295
2021389,38.04,44.295
2021390,38.47,44.295
2021391,38.81,44.295
2021392,37.99,44.295
2021393,37.92,44.295
2021394,36.5,44.295
2021395,37.04,44.295
2021396,36.41,44.295
2021397,37.77,44.295
2021398,38.2,44.295
2021399,39.4,44.295
2021400,39.84,44.295
2021401,39.37,44.295
2021402,40.02,44.295
2021403,39.9,44.295
2021404,38.96,44.295
2021405,39.26,44.295
2021406,39.11,44.295
2021407,39.19,44.295
2021408,40.1,44.295
2021409,40.01,44.295
2021410,39.76,44.295
2021411,39.5,44.295
2021412,38.47,44.295
2021413,39.11,44.295
2021414,39.39,44.295
2021415,40.19,44.295
2021416,39.25,44.295
2021417,39.76,44.295
2021418,41.81,44.295
2021419,42.75,44.295
2021420,43.58,44.295
2021421,43.14,44.295
2021422,42.57,44.295
2021423,42.95,44.295
2021424,42.13,44.295
2021425,44.36,44.295
2021426,43.83,44.295
2021427,43.5,44.295
2021428,44.2,44.295
2021429,44.01,44.295
2021430,44.28,44.295
2021431,43.98,44.295
2021432,43.63,44.295
2021433,43.61,44.295
2021434,43.03,44.295
2021435,43.54,44.295
2021436,43.39,44.295
2021437,44.52,44.295
2021438,45.16,44.295
2021439,44.74,44.295
2021440,44.93,44.295
2021441,44,44.295
2021442,43.75,44.295
2021443,43.59,44.295
2021444,43.54,44.295
2021445,44.7,44.295
2021446,44.01,44.295
2021447,43.54,44.295
2021448,42.92,44.295
2021449,42.97,44.295
2021450,43.19,44.295
2021451,42.55,44.295
2021452,43.07,44.295
2021453,44.86,44.295
2021454,44.32,44.295
2021455,44.18,44.295
2021456,43.34,44.295
2021457,42.55,44.295
2021458,43.6,44.295
2021459,43.33,44.295
2021460,43.96,44.295
2021461,43.15,44.295
2021462,41.09,44.295
2021463,40.31,44.295
2021464,40.76,44.295
2021465,40.05,44.295
2021466,40.52,44.295
2021467,40.83,44.295
2021468,41.34,44.295
2021469,41,44.295
2021470,40.09,44.295
2021471,40,44.295
